Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969732.326, datetime.datetime(2018, 6, 14, 15, 18, 52, 326000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969735.371, datetime.datetime(2018, 6, 14, 15, 18, 55, 371000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969737.372, datetime.datetime(2018, 6, 14, 15, 18, 57, 372000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969741.152, datetime.datetime(2018, 6, 14, 15, 19, 1, 152000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969743.155, datetime.datetime(2018, 6, 14, 15, 19, 3, 155000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969747.182, datetime.datetime(2018, 6, 14, 15, 19, 7, 182000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969751.725, datetime.datetime(2018, 6, 14, 15, 19, 11, 725000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969756.04, datetime.datetime(2018, 6, 14, 15, 19, 16, 40000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969760.107, datetime.datetime(2018, 6, 14, 15, 19, 20, 107000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969762.576, datetime.datetime(2018, 6, 14, 15, 19, 22, 576000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969764.579, datetime.datetime(2018, 6, 14, 15, 19, 24, 579000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969767.129, datetime.datetime(2018, 6, 14, 15, 19, 27, 129000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969769.127, datetime.datetime(2018, 6, 14, 15, 19, 29, 127000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969771.611, datetime.datetime(2018, 6, 14, 15, 19, 31, 611000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969774.085, datetime.datetime(2018, 6, 14, 15, 19, 34, 85000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969777.369, datetime.datetime(2018, 6, 14, 15, 19, 37, 369000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969779.358, datetime.datetime(2018, 6, 14, 15, 19, 39, 358000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969781.331, datetime.datetime(2018, 6, 14, 15, 19, 41, 331000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969784.376, datetime.datetime(2018, 6, 14, 15, 19, 44, 376000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969786.374, datetime.datetime(2018, 6, 14, 15, 19, 46, 374000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969788.363, datetime.datetime(2018, 6, 14, 15, 19, 48, 363000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969790.342, datetime.datetime(2018, 6, 14, 15, 19, 50, 342000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969792.33, datetime.datetime(2018, 6, 14, 15, 19, 52, 330000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969796.339, datetime.datetime(2018, 6, 14, 15, 19, 56, 339000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969798.334, datetime.datetime(2018, 6, 14, 15, 19, 58, 334000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969800.802, datetime.datetime(2018, 6, 14, 15, 20, 0, 802000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 60.12, 1528969804.822, datetime.datetime(2018, 6, 14, 15, 20, 4, 822000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528970477.473, datetime.datetime(2018, 6, 14, 15, 31, 17, 473000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970477.52, datetime.datetime(2018, 6, 14, 15, 31, 17, 520000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970478.538, datetime.datetime(2018, 6, 14, 15, 31, 18, 538000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970479.54, datetime.datetime(2018, 6, 14, 15, 31, 19, 540000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970480.542, datetime.datetime(2018, 6, 14, 15, 31, 20, 542000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970481.543, datetime.datetime(2018, 6, 14, 15, 31, 21, 543000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970482.546, datetime.datetime(2018, 6, 14, 15, 31, 22, 546000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970483.57, datetime.datetime(2018, 6, 14, 15, 31, 23, 570000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970484.588, datetime.datetime(2018, 6, 14, 15, 31, 24, 588000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970485.59, datetime.datetime(2018, 6, 14, 15, 31, 25, 590000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970486.593, datetime.datetime(2018, 6, 14, 15, 31, 26, 593000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970487.594, datetime.datetime(2018, 6, 14, 15, 31, 27, 594000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970488.596, datetime.datetime(2018, 6, 14, 15, 31, 28, 596000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970489.615, datetime.datetime(2018, 6, 14, 15, 31, 29, 615000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970490.617, datetime.datetime(2018, 6, 14, 15, 31, 30, 617000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970491.62, datetime.datetime(2018, 6, 14, 15, 31, 31, 620000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970492.623, datetime.datetime(2018, 6, 14, 15, 31, 32, 623000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970493.624, datetime.datetime(2018, 6, 14, 15, 31, 33, 624000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970494.655, datetime.datetime(2018, 6, 14, 15, 31, 34, 655000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970495.657, datetime.datetime(2018, 6, 14, 15, 31, 35, 657000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970496.66, datetime.datetime(2018, 6, 14, 15, 31, 36, 660000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970497.661, datetime.datetime(2018, 6, 14, 15, 31, 37, 661000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970498.663, datetime.datetime(2018, 6, 14, 15, 31, 38, 663000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970499.666, datetime.datetime(2018, 6, 14, 15, 31, 39, 666000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970500.676, datetime.datetime(2018, 6, 14, 15, 31, 40, 676000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970501.684, datetime.datetime(2018, 6, 14, 15, 31, 41, 684000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528970502.684, datetime.datetime(2018, 6, 14, 15, 31, 42, 684000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971075.571, datetime.datetime(2018, 6, 14, 15, 41, 15, 571000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971075.602, datetime.datetime(2018, 6, 14, 15, 41, 15, 602000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971076.615, datetime.datetime(2018, 6, 14, 15, 41, 16, 615000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971077.617, datetime.datetime(2018, 6, 14, 15, 41, 17, 617000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971078.62, datetime.datetime(2018, 6, 14, 15, 41, 18, 620000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971079.623, datetime.datetime(2018, 6, 14, 15, 41, 19, 623000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971080.632, datetime.datetime(2018, 6, 14, 15, 41, 20, 632000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971081.638, datetime.datetime(2018, 6, 14, 15, 41, 21, 638000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971082.64, datetime.datetime(2018, 6, 14, 15, 41, 22, 640000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971084.224, datetime.datetime(2018, 6, 14, 15, 41, 24, 224000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971085.238, datetime.datetime(2018, 6, 14, 15, 41, 25, 238000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971086.256, datetime.datetime(2018, 6, 14, 15, 41, 26, 256000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971087.262, datetime.datetime(2018, 6, 14, 15, 41, 27, 262000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971088.255, datetime.datetime(2018, 6, 14, 15, 41, 28, 255000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971089.271, datetime.datetime(2018, 6, 14, 15, 41, 29, 271000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 30.12, 1528971090.273, datetime.datetime(2018, 6, 14, 15, 41, 30, 273000)]
