Room: 303, Node number: 3, [3, '303', 0, 1528713014.025, datetime.datetime(2018, 6, 11, 16, 0, 14, 25000)]
Room: 303, Node number: 2, [2, '303', 0, 1528713014.472, datetime.datetime(2018, 6, 11, 16, 0, 14, 472000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713015.015, datetime.datetime(2018, 6, 11, 16, 0, 15, 15000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713017.032, datetime.datetime(2018, 6, 11, 16, 0, 17, 32000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713020.021, datetime.datetime(2018, 6, 11, 16, 0, 20, 21000)]
Room: 303, Node number: 2, [2, '303', 1, 1528713022.467, datetime.datetime(2018, 6, 11, 16, 0, 22, 467000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713026.033, datetime.datetime(2018, 6, 11, 16, 0, 26, 33000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713027.033, datetime.datetime(2018, 6, 11, 16, 0, 27, 33000)]
Room: 303, Node number: 2, [2, '303', 0, 1528713027.475, datetime.datetime(2018, 6, 11, 16, 0, 27, 475000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713030.034, datetime.datetime(2018, 6, 11, 16, 0, 30, 34000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713031.04, datetime.datetime(2018, 6, 11, 16, 0, 31, 40000)]
Room: 303, Node number: 2, [2, '303', 1, 1528713033.09, datetime.datetime(2018, 6, 11, 16, 0, 33, 90000)]
Room: 303, Node number: 2, [2, '303', 1, 1528713033.14, datetime.datetime(2018, 6, 11, 16, 0, 33, 140000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713034.045, datetime.datetime(2018, 6, 11, 16, 0, 34, 45000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713037.049, datetime.datetime(2018, 6, 11, 16, 0, 37, 49000)]
Room: 303, Node number: 2, [2, '303', 0, 1528713038.129, datetime.datetime(2018, 6, 11, 16, 0, 38, 129000)]
Room: 303, Node number: 3, [3, '303', 0, 1528713040.053, datetime.datetime(2018, 6, 11, 16, 0, 40, 53000)]
Room: 303, Node number: 3, [3, '303', 1, 1528713043.06, datetime.datetime(2018, 6, 11, 16, 0, 43, 60000)]
Room: 303, Node number: 2, [2, '303', 1, 1528713043.14, datetime.datetime(2018, 6, 11, 16, 0, 43, 140000)]
